Filename,Type,Impact:SoftwareQuality,CleanCodeAttributeCategory,CleanCodeAttribute,Issue Type,Message,Severity,Line
src/Easy/1. Two Sum/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""twoSum"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,4
src/Easy/1. Two Sum/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""twoSum"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,4
src/Easy/13. Roman to Integer/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""romanToInt"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/13. Roman to Integer/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""romanToInt"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/13. Roman to Integer/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""romanToInt"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/14. Longest Common Prefix/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""longestCommonPrefix"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Easy/14. Longest Common Prefix/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""longestCommonPrefix"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Easy/14. Longest Common Prefix/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""longestCommonPrefix"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Easy/14. Longest Common Prefix/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}",CONSISTENT,IDENTIFIABLE,python:S1542,"Rename function ""commonPrefix"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MAJOR,9
src/Easy/14. Longest Common Prefix/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}",CONSISTENT,IDENTIFIABLE,python:S1542,"Rename function ""longestCommonPrefixRec"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MAJOR,16
src/Easy/14. Longest Common Prefix/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S117,"Rename this local variable ""lcpLeft"" to match the regular expression ^[_a-z][a-z0-9_]*$.",MINOR,21
src/Easy/14. Longest Common Prefix/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S117,"Rename this local variable ""lcpRight"" to match the regular expression ^[_a-z][a-z0-9_]*$.",MINOR,22
src/Easy/20. Valid Parentheses/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isValid"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/20. Valid Parentheses/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isValid"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/20. Valid Parentheses/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isValid"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/21. Merge Two Sorted Lists/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""mergeTwoLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,8
src/Easy/21. Merge Two Sorted Lists/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""mergeTwoLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,8
src/Easy/21. Merge Two Sorted Lists/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""mergeTwoLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,8
src/Easy/26. Remove Duplicates from Sorted Array/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""removeDuplicates"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/26. Remove Duplicates from Sorted Array/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""removeDuplicates"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/26. Remove Duplicates from Sorted Array/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""removeDuplicates"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/27. Remove Element/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""removeElement"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/27. Remove Element/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""removeElement"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/27. Remove Element/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""removeElement"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/28. Find the Index of the First Occurrence in a Stri/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""strStr"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/28. Find the Index of the First Occurrence in a Stri/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""strStr"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/28. Find the Index of the First Occurrence in a Stri/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 23 to the 15 allowed.,CRITICAL,2
src/Easy/28. Find the Index of the First Occurrence in a Stri/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""strStr"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/28. Find the Index of the First Occurrence in a Stri/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}",CONSISTENT,IDENTIFIABLE,python:S1542,"Rename function ""computeLPSArray"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MAJOR,3
src/Easy/35. Search Insert Position/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""searchInsert"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/35. Search Insert Position/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""searchInsert"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/35. Search Insert Position/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""searchInsert"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,4
src/Easy/9. Palindrome Number/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isPalindrome"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/9. Palindrome Number/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isPalindrome"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Easy/9. Palindrome Number/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isPalindrome"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Hard/10. Regular Expression Matching/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,CRITICAL,2
src/Hard/10. Regular Expression Matching/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isMatch"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/10. Regular Expression Matching/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isMatch"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/10. Regular Expression Matching/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isMatch"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/10. Regular Expression Matching/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,CRITICAL,2
src/Hard/23. Merge k Sorted Lists/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""mergeKLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,12
src/Hard/23. Merge k Sorted Lists/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""mergeKLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,9
src/Hard/23. Merge k Sorted Lists/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,CRITICAL,9
src/Hard/23. Merge k Sorted Lists/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}",CONSISTENT,IDENTIFIABLE,python:S1542,"Rename function ""mergeTwoLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MAJOR,13
src/Hard/23. Merge k Sorted Lists/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""mergeKLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,9
src/Hard/23. Merge k Sorted Lists/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'MEDIUM'}",CONSISTENT,IDENTIFIABLE,python:S1542,"Rename function ""mergeTwoLists"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MAJOR,10
src/Hard/30. Substring with Concatenation of All Words/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,CRITICAL,5
src/Hard/30. Substring with Concatenation of All Words/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""findSubstring"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Hard/30. Substring with Concatenation of All Words/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""findSubstring"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,6
src/Hard/30. Substring with Concatenation of All Words/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",INTENTIONAL,CLEAR,python:S1481,"Remove the unused local variable ""total_len"".",MINOR,12
src/Hard/30. Substring with Concatenation of All Words/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 18 to the 15 allowed.,CRITICAL,6
src/Hard/30. Substring with Concatenation of All Words/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""findSubstring"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,6
src/Hard/30. Substring with Concatenation of All Words/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",INTENTIONAL,CLEAR,python:S1481,"Remove the unused local variable ""total_len"".",MINOR,12
src/Hard/32. Longest Valid Parentheses/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""longestValidParentheses"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/32. Longest Valid Parentheses/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""longestValidParentheses"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/32. Longest Valid Parentheses/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 16 to the 15 allowed.,CRITICAL,2
src/Hard/32. Longest Valid Parentheses/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""longestValidParentheses"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/4. Median of Two Sorted Arrays/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""findMedianSortedArrays"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/4. Median of Two Sorted Arrays/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""findMedianSortedArrays"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/4. Median of Two Sorted Arrays/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,CRITICAL,2
src/Hard/4. Median of Two Sorted Arrays/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",INTENTIONAL,CLEAR,python:S1481,"Remove the unused local variable ""min_of_right"".",MINOR,20
src/Hard/4. Median of Two Sorted Arrays/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 21 to the 15 allowed.,CRITICAL,2
src/Hard/4. Median of Two Sorted Arrays/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""findMedianSortedArrays"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/41. First Missing Positive/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""firstMissingPositive"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Hard/41. First Missing Positive/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""firstMissingPositive"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Hard/41. First Missing Positive/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""firstMissingPositive"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,5
src/Hard/44. Wildcard Matching/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isMatch"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/44. Wildcard Matching/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isMatch"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/44. Wildcard Matching/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isMatch"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/60. Permutation Sequence/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""getPermutation"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/60. Permutation Sequence/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""getPermutation"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/60. Permutation Sequence/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""getPermutation"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/65. Valid Number/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isNumber"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,4
src/Hard/65. Valid Number/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isNumber"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/65. Valid Number/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""isNumber"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/65. Valid Number/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'HIGH'}",ADAPTABLE,FOCUSED,python:S3776,Refactor this function to reduce its Cognitive Complexity from 26 to the 15 allowed.,CRITICAL,2
src/Hard/68. Text Justification/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S117,"Rename this parameter ""maxWidth"" to match the regular expression ^[_a-z][a-z0-9_]*$.",MINOR,2
src/Hard/68. Text Justification/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""fullJustify"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/68. Text Justification/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""fullJustify"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/68. Text Justification/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S117,"Rename this parameter ""maxWidth"" to match the regular expression ^[_a-z][a-z0-9_]*$.",MINOR,2
src/Hard/68. Text Justification/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""fullJustify"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Hard/68. Text Justification/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S117,"Rename this parameter ""maxWidth"" to match the regular expression ^[_a-z][a-z0-9_]*$.",MINOR,2
src/Medium/12. Integer to Roman/ai_solution_1.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""intToRoman"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Medium/12. Integer to Roman/ai_solution_2.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""intToRoman"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
src/Medium/12. Integer to Roman/ai_solution_3.py,CODE_SMELL,"{'softwareQuality': 'MAINTAINABILITY', 'severity': 'LOW'}",CONSISTENT,IDENTIFIABLE,python:S100,"Rename method ""intToRoman"" to match the regular expression ^[a-z_][a-z0-9_]*$.",MINOR,2
